title;rating;ratingLevel;release year;user rating score;ageGroup
Blow;R;pervasive drug content and language, some violence and sexuality;2001;78.0;Adult
High School Musical;TV-G;Suitable for all ages.;2006;64.0;Family
Bones;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;97.0;Teen
Law & Order: Special Victims Unit;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;97.0;Teen
NCIS;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;97.0;Teen
Army Wives;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2013;61.0;Teen
Private Practice;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2012;88.0;Teen
Revenge;TV-PG;Parental guidance suggested. May not be suitable for all children.;2015;84.0;Parental Guidance
Scandal;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;92.0;Teen
Magic Mike;R;pervasive sexual content, brief graphic nudity, language and some drug use;2012;77.0;Adult
Trouble with the Curve;PG-13;Parents strongly cautioned. May be inappropriate for children under 13.;2012;63.0;Teen
Home;PG;mild action and some rude humor;2015;94.0;Parental Guidance
Skin Wars;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;69.0;Teen
Felipe Neto: My Life Makes No Sense;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;89.0;Adult
Lost;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2010;98.0;Teen
Weeds;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2012;85.0;Adult
The Tudors;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2010;89.0;Adult
Lie to Me;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2010;89.0;Teen
Charmed;TV-PG;Parental guidance suggested. May not be suitable for all children.;2005;90.0;Parental Guidance
White Collar;TV-PG;Parental guidance suggested. May not be suitable for all children.;2014;93.0;Parental Guidance
House of Cards;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;91.0;Adult
The Killing;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2014;73.0;Teen
Unconditional;PG-13;some violent content and mature thematic elements;2012;68.0;Teen
The Blacklist;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;96.0;Teen
The Fosters;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;73.0;Teen
Witches of East End;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2014;86.0;Teen
Bitten;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;56.0;Adult
London Has Fallen;R;strong violence and language throughout;2016;96.0;Adult
