title;rating_x;ratingLevel;release year;user rating score;ageGroup;director;cast;country;date_added;release_year_x;duration;listed_in;imdb_score;imdb_votes;budget;genres;popularity;production_companies;release_date;revenue;runtime_y;type
alice through the looking glass;PG;fantasy action/peril and some language;2016;96.0;Parental Guidance;;;;;;;;;;0;['Family', 'Fantasy'];1.13767;['IAC Film', 'Channel 4 Television Corporation', 'Projector Productions'];1998-12-26;0.0;83.0;
alice through the looking glass;PG;fantasy action/peril and some language;2016;96.0;Parental Guidance;;;;;;;;;;170000000;['Family', 'Fantasy'];14.61608;['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions', 'Roth Films', 'Legend3D'];2016-05-25;299370084.0;113.0;
ask the storybots;TV-Y;Suitable for all ages.;2016;;Kids;;Judy Greer, Erin Fitzgerald, Fred Tatasciore, Jeff Gill, Gregg Spiridellis, Evan Spiridellis;United States;;2019.0;3 Seasons;Kids' TV;8.4;870.0;;;;;;;;TV Show
goldie & bear;TV-Y;Suitable for all ages.;2016;77.0;Kids;;Natalie Lander, Georgie Kidder;United States;;2017.0;2 Seasons;Kids' TV;;;;;;;;;;TV Show
little baby bum: nursery rhyme friends;TV-Y;Suitable for all ages.;2016;;Kids;;Chloe Marsden, Aaron Marsden, Mar├¡a Esnoz;;;2019.0;2 Seasons;British TV Shows, Kids' TV;;;;;;;;;;TV Show
little baby bum: nursery rhyme friends;TV-Y;Suitable for all ages.;2016;;Kids;;;;;2016.0;60 min;Movies;;;;;;;;;;Movie
tayo the little bus;TV-Y;Suitable for all ages.;2014;;Kids;;Robyn Slade, Kami Desilets;South Korea;;2014.0;2 Seasons;Kids' TV, Korean TV Shows;5.2;156.0;;;;;;;;TV Show
antz;PG;moderate adult language and intense action;1998;80.0;Parental Guidance;;;;;;;;;;60000000;['Adventure', 'Animation', 'Comedy', 'Family'];16.025625;['DreamWorks SKG', 'Pacific Data Images (PDI)', 'DreamWorks Animation'];1998-10-02;171757863.0;83.0;
chicken run;G;General Audiences. Suitable for all ages.;2000;80.0;Family;;;;;;;;;;45000000;['Animation', 'Comedy', 'Family'];11.834245;['DreamWorks SKG', 'Aardman Animations', 'DreamWorks Animation', 'Path├⌐'];2000-06-21;224834564.0;84.0;
spy kids 3: game over;PG;action sequences and peril;2003;64.0;Parental Guidance;Robert Rodriguez;Daryl Sabara, Sylvester Stallone, Ricardo Montalban, Alexa PenaVega;United States;April 1, 2019;2003.0;83 min;Children & Family Movies, Comedies;;;;;;;;;;Movie
annie;PG;adult content and mld violence;1982;68.0;Parental Guidance;;;;;;;;6.6;44866.0;50000000;['Comedy', 'Drama', 'Family', 'Music'];8.997507;['Columbia Pictures', 'Rastar Pictures'];1982-06-18;57059003.0;127.0;MOVIE
annie;PG;adult content and mld violence;1982;68.0;Parental Guidance;;;;;;;;6.6;44866.0;65000000;['Comedy', 'Drama', 'Family'];13.275529;['Columbia Pictures', 'Olive Bridge Entertainment', 'Sony Pictures Entertainment (SPE)', 'Overbrook Entertainment', 'Marcy Media'];2014-12-19;133821816.0;119.0;MOVIE
annie;PG;adult content and mld violence;1982;68.0;Parental Guidance;;;;;;;;6.6;44866.0;0;['Music', 'Family', 'Comedy'];2.17699;['Walt Disney Television', 'Storyline Entertainment', 'Chris Montan Productions', 'Columbia TriStar Television'];1999-11-07;0.0;90.0;MOVIE
mulan 2;G;General Audiences. Suitable for all ages.;2004;85.0;Family;;;;;;;;;;;;;;;;;
lilo & stitch 2: stitch has a glitch;PG;some mild action;2005;85.0;Parental Guidance;;;;;;;;;;0;['Animation', 'Comedy', 'Family'];10.971661;['Walt Disney Pictures'];2005-01-29;0.0;68.0;
dreamworks shrek's swamp stories;TV-PG;Parental guidance suggested. May not be suitable for all children.;2008;56.0;Parental Guidance;;Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Kristen Schaal, Simon Cowell, Gilles Marini, Charlotte Newhouse, Dean Edwards, Cody Cameron, Christopher Knights, Conrad Vernon;United States;August 17, 2012;2008.0;1 Season;Kids' TV, TV Action & Adventure, TV Comedies;6.5;330.0;;;;;;;;TV Show
beverly hills chihuahua 3: viva la fiesta!;G;General Audiences. Suitable for all ages.;2012;;Family;;;;;;;;;;;;;;;;;
dreamworks spooky stories: volume 2;TV-PG;Parental guidance suggested. May not be suitable for all children.;2011;;Parental Guidance;;Seth Rogen, Kiefer Sutherland, Will Arnett, Hugh Laurie, Will Ferrell, David Cross, Sean Bishop, Cody Cameron, Aron Warner;;October 24, 2012;2011.0;1 Season;Kids' TV, TV Comedies;;;;;;;;;;TV Show
the magic school bus;TV-Y;Suitable for all ages.;1997;81.0;Kids;;Lily Tomlin, Daniel DeSanto, Erica Luttrell, Maia Filar, Lisa Yamanaka, Tara Meyer, Stuart Stone, Malcolm-Jamal Warner, Danny Tamberelli;Canada, United States;;1997.0;4 Seasons;Kids' TV;7.8;9708.0;;;;;;;;TV Show
sammy 2;TV-PG;Parental guidance suggested. May not be suitable for all children.;2012;;Parental Guidance;;;;;;;;;;;;;;;;;
sofia the first;TV-Y;Suitable for all ages.;2015;82.0;Kids;;Ariel Winter, Darcy Rose Byrnes, Sara Ramirez, Tim Gunn, Coco Grayson, Travis Willingham, Wayne Brady, Jess Harnell, Meghan Strange, Zach Callison;United States;;2017.0;4 Seasons;Kids' TV;6.8;2915.0;;;;;;;;TV Show
barbie life in the dreamhouse;TV-G;Suitable for all ages.;2012;85.0;Family;;Kate Higgins, Sean Hankinson, Haviland Stillwell, Paula Rhodes, Charlie Bodin, Laura Gerow, Katie Crown, Nakia Burrise, Tara Sands, Ashlyn Selich;United States;July 1, 2017;2012.0;1 Season;Kids' TV, TV Comedies;;;;;;;;;;TV Show
paddington;PG;mild action and rude humor;2014;70.0;Parental Guidance;;;;;;;;7.2;111092.0;55000000;['Family', 'Comedy'];15.686837;['The Weinstein Company', 'StudioCanal', 'TF1 Films Production', 'Canal+', 'Heyday Films', 'Cin├⌐+', 'Anton Capital Entertainment (ACE)', 'TF1', 'Amazon Prime Instant Video'];2014-11-27;259207227.0;95.0;MOVIE
larva;TV-G;Suitable for all ages.;2015;;Family;;;Russia;;2015.0;3 Seasons;Kids' TV, Korean TV Shows, TV Comedies;7.1;582.0;;;;;;;;TV Show
sid the science kid;TV-Y;Suitable for all ages.;2008;;Kids;;;;;;;;;;;;;;;;;
minions;PG;action and rude humor;2015;96.0;Parental Guidance;;;;;;;;;;74000000;['Family', 'Animation', 'Adventure', 'Comedy'];547.488298;['Universal Pictures', 'Illumination Entertainment'];2015-06-17;1156730962.0;91.0;
the little prince;PG;mild thematic elements;2015;71.0;Parental Guidance;Mark Osborne;Jeff Bridges, Rachel McAdams, Paul Rudd, Bud Cort, Marion Cotillard, Benicio Del Toro, James Franco, Ricky Gervais, Paul Giamatti, Riley Osborne, Albert Brooks, Mackenzie Foy;France;August 5, 2016;2016.0;107 min;Children & Family Movies;;;0;['Science Fiction', 'Fantasy', 'Family', 'Music'];6.582652;['Paramount Pictures'];1974-11-06;0.0;88.0;Movie
the little prince;PG;mild thematic elements;2015;71.0;Parental Guidance;Mark Osborne;Jeff Bridges, Rachel McAdams, Paul Rudd, Bud Cort, Marion Cotillard, Benicio Del Toro, James Franco, Ricky Gervais, Paul Giamatti, Riley Osborne, Albert Brooks, Mackenzie Foy;France;August 5, 2016;2016.0;107 min;Children & Family Movies;;;64000000;['Adventure', 'Animation', 'Fantasy'];11.376954;['Onyx Films', 'NetFlix', 'Orange Studios', 'CityMation', 'On Entertainment', 'Zippcast Films'];2015-07-29;97571250.0;92.0;Movie
word party;TV-Y;Suitable for all ages.;2016;;Kids;;Victor Yerrid, Alice Dinnean, Alon Williams, Donna Kimball, John Munro Cameron, John Tartaglia, Arty Casas, Dorien Davies, Misty Rosas, Patina Miller;United States;;2017.0;3 Seasons;Kids' TV;5.7;349.0;;;;;;;;TV Show
cool runnings;PG;Parental guidance suggested. May not be suitable for children.;1993;81.0;Parental Guidance;;;;;;;;;;14000000;['Comedy'];8.30721;['Walt Disney'];1993-09-30;154864401.0;98.0;
homeward bound: the incredible journey;G;General Audiences. Suitable for all ages.;1993;96.0;Family;;;;;;;;;;0;['Adventure', 'Comedy', 'Drama', 'Family'];7.186506;['Walt Disney Pictures', 'Touchwood Pacific Partners 1'];1993-02-03;0.0;84.0;
anastasia;G;General Audiences. Suitable for all ages.;1997;93.0;Family;;;;;;;;;;53000000;['Animation', 'Family'];11.911173;['Twentieth Century Fox Film Corporation', 'Fox Animation Studios', 'Fox Family Films', 'The Big Gun Project', 'Little Wolf Entertainment'];1997-11-20;139804348.0;94.0;
anastasia;G;General Audiences. Suitable for all ages.;1997;93.0;Family;;;;;;;;;;3520000;['Drama', 'Comedy', 'Romance'];3.504149;['Twentieth Century Fox Film Corporation'];1956-12-13;0.0;105.0;
missione hamburger;PG;language, some comic violence and mild sex-related humor;1997;75.0;Parental Guidance;;;;;;;;;;;;;;;;;
curious george;G;General Audiences. Suitable for all ages.;2006;55.0;Family;;;;;;;;;;50000000;['Adventure', 'Animation', 'Comedy', 'Family'];12.602502;['Imagine Entertainment', 'Universal Pictures', 'Universal Animation Studios'];2006-02-10;69834815.0;86.0;
secret of the wings;G;General Audiences. Suitable for all ages.;2012;65.0;Family;;;;;;;;;;0;['Animation', 'Family', 'Fantasy', 'Adventure'];9.32058;['DisneyToon Studios', 'Walt Disney Animation Studios', 'Prana Animation Studios'];2012-08-17;0.0;92.0;
clifford the big red dog;TV-Y;Suitable for all ages.;2002;;Kids;;;;;;;;;;;;;;;;;
walt disney animation studios short films collection;TV-G;Suitable for all ages.;2015;84.0;Family;Chris Buck, Jennifer Lee, Patrick Osborne, Lauren MacMullan, John Kahrs, Nathan Greno, Byron Howard, Stevie Wermers, Dean Wellins, Kevin Deters, Roger Allers, Mike Gabriel, Mark Henn;Kristen Bell, Josh Gad, Jonathan Groff, Idina Menzel, Geoffrey Jones, Alfre Woodard, Carrie Harrington, Tim Hodge, David Murray, Sarah Chalke, Dave Foley, Derek Richardson, Betty White, Zachary Levi, Mandy Moore;United States;October 25, 2015;2015.0;90 min;Children & Family Movies;;;;;;;;;;Movie
bunk'd;TV-G;Suitable for all ages.;2016;61.0;Family;;Peyton List, Karan Brar, Skai Jackson, Miranda May, Kevin G. Quinn, Nathan Arenas, Nina Lu;United States;;2018.0;3 Seasons;Kids' TV, TV Comedies;5.3;3174.0;;;;;;;;TV Show
the bfg;PG;for action/peril, some scary moments and brief rude humor;2016;97.0;Parental Guidance;;;;;;;;;;140000000;['Adventure', 'Family', 'Fantasy'];18.769476;['Walt Disney Pictures', 'Amblin Entertainment', 'Reliance Entertainment', 'Kennedy/Marshall Company, The', 'Walden Media'];2016-06-01;183345589.0;120.0;
the real ghostbusters;TV-Y7;Suitable for children ages 7 and older;1990;65.0;Kids;;;;;;;;;;;;;;;;;
babe: pig in the city;G;General Audiences. Suitable for all ages.;1998;;Family;;;;;;;;;;90000000;['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy'];6.229629;['Kennedy Miller Productions'];1998-11-25;69131860.0;92.0;
the prince of egypt;PG;intense scenes dealing with strong content;1998;81.0;Parental Guidance;;;;;;;;;;70000000;['Adventure', 'Animation', 'Drama', 'Family', 'Music'];11.898185;['DreamWorks SKG', 'DreamWorks Animation'];1998-12-15;218613188.0;99.0;
paulie;PG;Parental guidance suggested. May not be suitable for children.;1998;;Parental Guidance;;;;;;;;;;0;['Comedy', 'Family'];3.913118;['DreamWorks SKG', 'Mutual Film Company'];1998-04-17;0.0;91.0;
the road to el dorado;PG;mild thematic material and language;2000;91.0;Parental Guidance;;;;;;;;;;95000000;['Adventure', 'Animation', 'Comedy', 'Family'];8.755188;['DreamWorks SKG', 'DreamWorks Animation'];2000-03-31;76432727.0;89.0;
fantasia 2000;G;General Audiences. Suitable for all ages.;2000;;Family;;;;;;;;;;80000000;['Animation', 'Family', 'Music'];14.972573;['Walt Disney Pictures'];1999-12-17;90874570.0;74.0;
pocahontas ii: journey to a new world;TV-G;Suitable for all ages.;1998;64.0;Family;;;;;;;;;;0;['Adventure', 'Animation', 'Romance', 'Family'];8.763892;['Walt Disney Pictures'];1998-08-04;0.0;72.0;
fantasia;G;General Audiences. Suitable for all ages.;1940;61.0;Family;;;;;;;;;;2280000;['Animation', 'Family', 'Music'];8.03796;['Walt Disney Pictures'];1940-11-13;83320000.0;124.0;
